                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4044,                 1.9941,                  1.085,                0.01878,                0.78537,                0.48015,                0.27703,                 1.1906,                 3.0685,                 1.0627,             0.00065116,             0.00065116,             0.00065116
                      2,                 1.3505,                 1.3885,                 1.0972,                0.94048,                0.87317,                0.93777,                0.58961,                 1.2453,                 1.7272,                 1.0482,              0.0013048,              0.0013048,              0.0013048
                      3,                 1.4053,                 1.3125,                 1.1297,                0.96007,                0.93841,                0.98258,                0.63888,                 1.1802,                 1.2866,                 1.0655,              0.0019452,              0.0019452,              0.0019452
                      4,                  1.335,                 1.2291,                 1.1174,                0.97075,                0.97149,                0.99029,                0.64516,                 1.1406,                 1.0243,                 1.0337,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3076,                  1.081,                 1.1133,                0.96563,                 0.9561,                0.98761,                0.63964,                 1.2153,                0.91178,                 1.0763,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.3199,                 1.0488,                 1.1342,                0.96534,                0.95101,                0.96593,                0.56318,                   1.29,                0.93983,                 1.1352,              0.0019208,              0.0019208,              0.0019208
